ID,SubBorough,08_ratio,08_stop,08_asian
503,South Shore,1.656629603,1.0946866,0.6607914
502,Mid-Island,1.054182784,1.5382826,1.4592181
501,North Shore,2.01119145,3.2850133,1.6333668
414,Rockaways,19.2910371,1.8470452,0.0957463
413,Queens Village,0.391662778,1.0666519,2.7233936
412,Jamaica,1.347447588,3.6511802,2.7097011
411,Bayside/Little Neck,0.176952413,0.710402,4.01465
410,South Ozone Park/Howard Beach,0.413426911,1.1242469,2.7193366
409,Ozone Park/Woodhaven,0.378073177,1.5262677,4.0369637
408,Hillcrest/Fresh Meadows,0.253300761,1.2032017,4.750091
407,Flushing/Whitestone,0.13423055,1.4991866,11.1687437
406,Rego Park/Forest Hills,0.184912675,0.4762077,2.5753115
405,Middle Village/Ridgewood,0,1.3384164,0
404,Elmhurst/Corona,0.292551326,1.3712189,4.6871054
403,Jackson Heights,0.730014902,2.2231292,3.0453202
402,Sunnyside/Woodside,0.261826762,1.2789143,4.8845821
401,Astoria,1.234526676,2.2294227,1.8058927
310,Washington Heights/Inwood,4.300822837,2.236479,0.5200119
309,East Harlem,6.144517213,4.5606855,0.7422366
308,Central Harlem,9.019024893,3.5300781,0.3914035
307,Morningside Heights/Hamilton Heights,2.255237032,1.2974134,0.5752891
306,Upper East Side,0.519053138,1.0277467,1.9800414
305,Upper West Side,0.951870219,1.3244945,1.3914654
304,Stuyvesant Town/Turtle Bay,0.527884626,1.0357566,1.9620889
303,Chelsea/Clinton/Midtown,1.891530129,3.3096151,1.7497026
302,Lower East Side/Chinatown,0.319221108,1.9572767,6.1314138
301,Greenwich Village/Financial District,0.72244194,1.5932076,2.2053088
218,Flatlands/Canarsie,2.721028168,1.6492769,0.6061227
217,East Flatbush,2.665515261,1.1122321,0.4172672
216,Brownsville/Ocean Hill,91.3586589,5.2075804,0.0570015
215,Sheepshead Bay/Gravesend,0,1.0189739,0
214,Flatbush,1.417544109,1.6719716,1.1794847
213,Coney Island,1.277481599,1.2649923,0.9902235
212,Borough Park,0.312944579,0.5660331,1.8087326
211,Bensonhurst,0.129347933,0.8501939,6.5729219
210,Bay Ridge,0.30710983,0.6098968,1.9859241
209,South Crown Heights,5.727899511,0.9794966,0.1710045
208,North Crown Heights/Prospect Heights,10.70832821,2.6066509,0.2434228
207,Sunset Park,0.245801493,0.9320093,3.7917153
206,Park Slope/Carroll Gardens,1.937730328,1.2998926,0.6708326
205,East New York/Starrett City,5.75872454,4.1855551,0.7268198
204,Bushwick,5.667222937,2.5877704,0.4566205
203,Bedford Stuyvesant,12.0674548,3.9692877,0.328925
202,Brooklyn Heights/Fort Greene,4.095137637,2.6590967,0.6493302
201,Williamsburg/Greenpoint,2.587910132,2.0045733,0.7745915
110,Williamsbridge/Baychester,3.661402134,1.2176958,0.3325764
109,Pelham Parkway,0.770893777,0.9116031,1.1825275
108,Throgs Neck/Co-op City,1.423262907,0.4216641,0.2962658
107,Soundview/Parkchester,2.350088617,1.9271442,0.8200304
106,Riverdale/Kingsbridge,0.646184773,0.4315811,0.6678912
105,Kingsbridge Heights/Moshulu,1.926144315,1.3302158,0.6906107
104,University Heights/Fordham,0,1.5331333,0
103,Highbridge/South Concourse,0,1.8741263,0
102,Morrisania/Belmont,14.12740681,2.0905844,0.1479808
101,Mott Haven/Hunts Point,33.5249754,3.7505411,0.111873
